district_geoid,district_name,votes_dem,votes_rep,votes_total,state,dem_pct,rep_pct,dem_lead_pct,winner
0101,Congressional District 1,74960,244783,323239,AL,23.19,75.73,-52.54,REP
0102,Congressional District 2,153658,150985,308587,AL,49.79,48.93,0.86,DEM
0103,Congressional District 3,85443,235543,324579,AL,26.32,72.57,-46.25,REP
0104,Congressional District 4,51145,267001,321403,AL,15.91,83.07,-67.16,REP
0105,Congressional District 5,120664,216261,343164,AL,35.16,63.02,-27.86,REP
0106,Congressional District 6,102432,222490,330220,AL,31.02,67.38,-36.36,REP
0107,Congressional District 7,183745,121584,309502,AL,59.37,39.28,20.09,DEM
0401,Congressional District 1,211179,226062,441482,AZ,47.83,51.21,-3.38,REP
0402,Congressional District 2,196071,262172,462911,AZ,42.36,56.64,-14.28,REP
0403,Congressional District 3,147009,74896,224895,AZ,65.37,33.3,32.07,DEM
0404,Congressional District 4,161107,140931,306354,AZ,52.59,46.0,6.59,DEM
0405,Congressional District 5,175504,252397,432658,AZ,40.56,58.34,-17.78,REP
0406,Congressional District 6,205690,205909,416291,AZ,49.41,49.46,-0.05,REP
0407,Congressional District 7,177358,119819,300617,AZ,59.0,39.86,19.14,DEM
0408,Congressional District 8,163929,224419,392026,AZ,41.82,57.25,-15.43,REP
0409,Congressional District 9,141659,246719,391757,AZ,36.16,62.98,-26.82,REP
0501,Congressional District 1,75680,197571,278485,AR,27.18,70.94,-43.76,REP
0502,Congressional District 2,130548,177983,316154,AR,41.29,56.3,-15.01,REP
0503,Congressional District 3,111070,187163,306594,AR,36.23,61.05,-24.82,REP
0504,Congressional District 4,80811,201708,287811,AR,28.08,70.08,-42.0,REP
0601,Congressional District 1,118494,200267,327978,CA,36.13,61.06,-24.93,REP
0602,Congressional District 2,278553,101005,392853,CA,70.91,25.71,45.2,DEM
0603,Congressional District 3,203593,220837,438122,CA,46.47,50.41,-3.94,REP
0604,Congressional District 4,220079,112383,343303,CA,64.11,32.74,31.37,DEM
0605,Congressional District 5,146440,208999,364843,CA,40.14,57.28,-17.14,REP
0606,Congressional District 6,165359,124695,300386,CA,55.05,41.51,13.54,DEM
0607,Congressional District 7,196488,102414,310019,CA,63.38,33.03,30.35,DEM
0608,Congressional District 8,200281,77231,286917,CA,69.8,26.92,42.88,DEM
0609,Congressional District 9,122542,127209,257553,CA,47.58,49.39,-1.81,REP
0610,Congressional District 10,245490,117131,375251,CA,65.42,31.21,34.21,DEM
0611,Congressional District 11,296025,51133,362067,CA,81.76,14.12,67.64,DEM
0612,Congressional District 12,265243,38067,318544,CA,83.27,11.95,71.32,DEM
0613,Congressional District 13,107705,122437,236614,CA,45.52,51.75,-6.23,REP
