Name,Reelection,ServedSince,Chamber,State,District,Ab
"Welch, Peter",2028,2023,Senate,Vermont,,VT
"Murray, Patty",2028,1993,Senate,Washington,,WA
"Johnson, Ron",2028,2011,Senate,Wisconsin,,WI
"Gallego, Ruben",2030,2025,Senate,Arizona,,AZ
"Schiff, Adam",2030,2024,Senate,California,,CA
"Murphy, Chriopher",2030,2013,Senate,Connecticut,,CT
"Blunt Rocheer, Lisa",2030,2025,Senate,Delaware,,DE
"Scott, Rick",2030,2019,Senate,Florida,,FL
"Hirono, Mazie",2030,2013,Senate,Hawaii,,HI
"Banks, Jim",2030,2025,Senate,Indiana,,IN
"King, Angus",2030,2013,Senate,Maine,,ME
"Alsobrooks, Angela",2030,2025,Senate,Maryland,,MD
"Warren, Elizabeth",2030,2013,Senate,Massachusetts,,MA
"Slotkin, Elissa",2030,2025,Senate,Michigan,,MI
"Klobuchar, Amy",2030,2007,Senate,Minnesota,,MN
"Wicker, Roger",2030,2007,Senate,Mississippi,,MS
"Hawley, Joshua “Josh”",2030,2019,Senate,Missouri,,MO
"Sheehy, Tim",2030,2025,Senate,Montana,,MT
"Fischer, Deb",2030,2013,Senate,Nebraska,,NE
"Rosen, Jacky",2030,2019,Senate,Nevada,,NV
"Kim, Andy",2030,2024,Senate,New Jersey,,NJ
"Heinrich, Martin",2030,2013,Senate,New Mexico,,NM
"Gillibrand, Kiren",2030,2009,Senate,New York,,NY
"Cramer, Kevin",2030,2019,Senate,North Dakota,,ND
"Moreno, Bernie",2030,2025,Senate,Ohio,,OH
"McCormick, Dave",2030,2025,Senate,Pennsylvania,,PA
"Whitehouse, Sheldon",2030,2007,Senate,Rhode Island,,RI
"Blackburn, Marsha",2030,2019,Senate,Tennessee,,TN
"Cruz, Ted",2030,2013,Senate,Texas,,TX
"Curtis, John",2030,2025,Senate,Utah,,UT
"Sanders, Bernard “Bernie”",2030,2007,Senate,Vermont,,VT
"Kaine, Timothy “Tim”",2030,2013,Senate,Virginia,,VA
"Cantwell, Maria",2030,2001,Senate,Washington,,WA
"Juice, Jim",2030,2025,Senate,West Virginia,,WV
"Baldwin, Tammy",2030,2013,Senate,Wisconsin,,WI
"Barrasso, John",2030,2007,Senate,Wyoming,,WY
